Title,Type,Order,Block,Body,Media URL,Survey JSON
Your Learning Journey,text,5,Introduction (Seed of Power),"The program flows through 8 modules: Universe of Business & Value Proposition, Route to Market & Customer Acquisition, Business Money, Customer Journey, Sales Infrastructure, Digital Marketing, Business Performance & KPIs, and Goal Alignment — moving you from Clarity to Market Access, Customer Experience, Sales Systems, Digital Growth, Performance Management, and Human Sustainability.",,
Module 1: Why Clarity Beats Effort,text,1,Block 1: Universe of Business & Value Proposition,"Most MSMEs fail from lack of clarity, not lack of effort. Owners work hard but rarely have clear answers to who their customer is, what problem they solve, which product actually makes money, and why a customer should choose them over the shop next door. Without clarity, effort scatters and growth becomes accidental.",,
Simplicity Over Complexity,text,2,Block 1: Universe of Business & Value Proposition,"Many owners believe business must sound complicated to be taken seriously — this creates overthinking and resistance to systems. In reality, simple businesses scale faster. If you can't explain your business in 10 seconds — like 'we fix phones for boda boda riders within 30 minutes' — customers won't understand it either.",,
"Local Examples: Kiosks, Workshops, Salons",text,3,Block 1: Universe of Business & Value Proposition,"Think kiosks, motorbike repair workshops, salons, agro-input dealers, and food vendors. Instead of asking 'what's your value proposition?', ask: why does a customer pass three kiosks to buy from yours?",,
Why This Is the Foundation,text,4,Block 1: Universe of Business & Value Proposition,"Question assumptions, resist the belief that 'everyone is my customer,' and choose focus over expansion. If this foundation is weak, sales systems fail, marketing wastes money, and financial controls collapse — this module underpins everything that follows.",,
Task: Map Your Business Universe,text,5,Block 1: Universe of Business & Value Proposition,"Understand the industry you're in: how much revenue moves through it, and how many customers are at your level of that industry.",,
Task: Write Your Value Proposition Statement,text,6,Block 1: Universe of Business & Value Proposition,"Use the formula: 'We help (specific customer) to (solve specific problem) by (clear, simple solution).' Good example: 'We help boda boda riders fix punctures within 15 minutes so they get back on the road fast.' Avoid vague lines like 'we sell quality products at affordable prices.'",,
Task: Product/Service Profit Focus Exercise,text,7,Block 1: Universe of Business & Value Proposition,"List your products or services and separate them: which give easy money, which cause stress, and which sell often but leave little cash? Aim for high profit / low effort, not low profit / high effort — revenue feeds the ego, profit feeds the business.",,
Case Study: Maria vs. Diana,text,8,Block 1: Universe of Business & Value Proposition,"Maria sells roasted peanuts on a busy street and makes Kes 1,500 on a good day. Diana, selling the same product under the brand 'You Protein' with a clear value proposition — affordable, reliable protein for families — sells up to Kes 10,000 a day.",,
Access Beats Perfection,text,1,Block 2: Route to Market & Customer Acquisition,"Many MSMEs over-invest in product improvement, packaging, and branding while under-investing in distribution, relationships, and consistent customer access. A great product without market access will die quietly; an average product with strong access will survive and grow.",,
Breaking the Myth of Perfection,text,2,Block 2: Route to Market & Customer Acquisition,"Customers tolerate imperfect products but not unavailability — they buy what's closest, fastest, and most familiar. Waiting for 'better branding' or 'more equipment' just gives competitors time to build habits with your customers. Ask: where can a customer access you today, not tomorrow?",,
Relationships Over Advertisement,text,3,Block 2: Route to Market & Customer Acquisition,"African markets are trust-based, relationship-driven, and community-validated. Advertising creates awareness, but relationships create transactions — face-to-face interaction, consistency, follow-up, and reliability build the trust that turns into sales.",,
Community & Referral-Driven Growth,text,4,Block 2: Route to Market & Customer Acquisition,"Communities like churches, chamas, saccos, markets, and estates share information rapidly and reward consistency. Ask for referrals intentionally, thank referrers, and make it easy for customers to recommend you — one good experience can bring 10 customers; one bad one can undo months of effort.",,
Task: Define Your Referral & Accessibility Plan,text,5,Block 2: Route to Market & Customer Acquisition,"List 5 community-based referral sources to pursue and 5 activities you'll do voluntarily within a community to raise awareness. Identify where your customers already gather and who influences their decisions.",,
Task: Map Your Customer Territories,text,6,Block 2: Route to Market & Customer Acquisition,"List your current access points — phone, physical location, resellers or agents — and how far a customer has to travel to reach you. Call 10 past customers by name just to check in.",,
Case Study: Daima Enterprise & the Boda Boda Network,text,7,Block 2: Route to Market & Customer Acquisition,"Daima Enterprise, a fast food joint, noticed boda boda riders were the trusted link between the main road and interior estate homes. They built a referral partnership with local riders — within one year, sales grew over 300%.",,
Why SMEs Really Fail,text,1,Block 3: Business Money,"Most SMEs don't fail because they don't make money — they fail because they don't control it. Money that's unseen, unmanaged, and undisciplined disappears even from a business selling daily.",,
Understanding Your Business Money,text,2,Block 3: Business Money,"Track six things: money that comes in, money that goes out, money left after today, money currently moving, your starting money, and money that quietly disappears. Your accountant produces reports — you make the decisions.",,
The Under-5-Minutes Daily Habit,text,3,Block 3: Business Money,"If it can't be done in under 5 minutes a day, it won't be done. Record money in, money out, and money left daily, and check your cash at close of business — if you don't know what you should have, money is already leaking.",,
Separating Business & Personal Money,text,4,Block 3: Business Money,"Every personal withdrawal must be visible, recorded, and conscious — no 'I just need something small.' Use tools you'll actually use daily: a simple notebook and pen often beats a sophisticated app you'll abandon.",,
Task: Set Up Your Daily Cash Book,text,5,Block 3: Business Money,"Get a receipt book, record every sale, and count cash at day's end against your receipts. Confirm sales minus expenses ties to your cash balance — make this a daily habit.",,
Task: Identify Your Cost Leaks,text,6,Block 3: Business Money,"Go through everywhere your money goes and flag the areas that signal waste or leakage.",,
Task: Calculate Your Break-Even Point,text,7,Block 3: Business Money,"Using your revenue and expenses, work out the price per product minus your fixed costs, and determine how many units you need to sell to cover your costs.",,
Case Study: Tasty Corner's Budgeting Turnaround,text,8,Block 3: Business Money,"Tasty Corner, a small food business, struggled to control rising costs until the owner introduced monthly budgeting with pre-predicted expenditure. The discipline was hard at first, but by year end, profit margin grew from 12% to 31%.",,
Consistency Beats Excellence,text,1,Block 4: Customer Journey,"Customers don't remember what you promised — they remember what happened. They'll forgive average service, but not unpredictable service. Consistent 'good enough' beats occasional excellence followed by random price changes or closures.",,
Every Staff Member Is Part of the Journey,text,2,Block 4: Customer Journey,"There's no buffer like big organizations have — one careless staff member or rude moment can lose a customer and spread negative word of mouth. Anyone who wears your uniform or works in your space represents you.",,
Why Poor Service Kills Repeat Business,text,3,Block 4: Customer Journey,"Owners often assume customers leave because prices are too high. In reality, most leave because they felt disrespected, ignored, or inconvenienced. A mistake plus respect builds loyalty; a mistake plus arrogance drives an exit.",,
Local Examples & Key Behaviors,text,4,Block 4: Customer Journey,"Customers queue patiently at busy places they trust, and choose expensive-but-polite vendors over cheaper rude ones. Agree as a team on how customers are treated, fix small behavior issues, and watch complaints drop and repeat visits rise.",,
Task: Map Your Customer Journey,text,5,Block 4: Customer Journey,"Trace every touchpoint from how a customer first hears about you to who they complain to — identify who meets them first, who speaks to them last, and where the journey breaks down.",,
Task: Create Minimum Service Standards,text,6,Block 4: Customer Journey,"Write down simple, enforceable rules for how every customer should be treated, every time — and make sure everyone on your team knows and applies them daily.",,
Case Study: Juliah's Boda Delivery Charter,text,7,Block 4: Customer Journey,"Juliah started using boda riders for deliveries but hadn't set expectations for how customers should be treated. She created a customer experience charter with her riders, and delivery became so reliable that riders became her best customer touchpoints and referral sources, eventually earning commission.",,
"Selling Is a Process, Not Talent",text,1,Block 5: Sales Infrastructure,"'I'm not a sales person' is a common excuse that blames personality instead of structure. The same person can sell well in one business and poorly in another — the difference is a repeatable process, not talent.",,
Structure Even for a One-Person Business,text,2,Block 5: Sales Infrastructure,"If your business only works when you're present, you don't own a business — you own a job. Structure means a repeatable routine: responding immediately, sending the same quote format, and following up after 3 days, every time.",,
"Track Activities, Not Excuses",text,3,Block 5: Sales Infrastructure,"Most SMEs never track sales activities — calls made, follow-ups done, quotes sent, visits made. Two salespeople in the same slow economy: one makes 3 follow-ups, the other makes 30. Same market, different discipline. You don't control outcomes — you control activities.",,
Task: Map Your Sales Process,text,4,Block 5: Sales Infrastructure,"Write down, step by step: how a customer first hears about you, how you respond, what you say first, how you present price, how you close, and how you follow up.",,
Task: Build a Weekly Sales Activity Tracker,text,5,Block 5: Sales Infrastructure,"Track your actual weekly sales activities — calls, follow-ups, quotes, visits — not just outcomes.",,
Task: Set Simple Sales Targets,text,6,Block 5: Sales Infrastructure,"Set a realistic, specific sales target for the coming week or month based on the activities you're now tracking.",,
Case Study: Damaris's Salon Sales Turnaround,text,7,Block 5: Sales Infrastructure,"Damaris runs a salon with 3 artisans and had assumed the beauty business was simply getting harder. After coaching, she brought her artisans into tracked daily sales activities. Within 4 months, her customer numbers grew more than in the previous 3 years combined.",,
"Digital Amplifies, It Doesn't Fix",text,1,Block 6: Digital Marketing Pillar,"Digital does not fix a broken business — it only amplifies what already exists. A disorganized business becomes more chaotic online; an untrustworthy one spreads mistrust faster; an inconsistent one gets exposed.",,
What Digital Can and Can't Do,text,2,Block 6: Digital Marketing Pillar,"Digital makes you visible, reachable, and checkable — but it won't replace sales follow-up, customer service, product availability, pricing discipline, or trust. Digital brings customers to your door; what happens after that is still on you.",,
Consistency Over Perfection,text,3,Block 6: Digital Marketing Pillar,"Don't wait for professional photos or polished branding. Customers value presence over polish, and trust familiarity over design — they buy from businesses they see often, not the ones with the best design. Post on the same days, respond in the same time, keep the same tone.",,
Trust & Visibility Drive Digital Sales,text,4,Block 6: Digital Marketing Pillar,"Before buying, customers check how long your page has existed, whether posts are recent, whether comments get answered, and whether your phone number works. Visibility proves you exist; trust proves you're safe to buy from.",,
Task: Run Your Digital Audit,text,5,Block 6: Digital Marketing Pillar,"Review your current online presence — profiles, posting frequency, response time, and reviews — and note where trust or visibility is weakest.",,
Task: Build a Content Calendar,text,6,Block 6: Digital Marketing Pillar,"Plan a simple, repeatable posting schedule — same days, same format — so your presence becomes consistent rather than sporadic.",,
Task: Set Up Lead Capture,text,7,Block 6: Digital Marketing Pillar,"Create one simple way for interested customers to reach you online — a WhatsApp Business number, a form, or a consistent call-to-action on your posts.",,
Case Study: Damaris Goes Digital,text,8,Block 6: Digital Marketing Pillar,"Damaris committed someone on her team to consistent content and quick responses for her salon's digital presence. That consistency built strong visibility and trust — today, more than half of her sales tie back to digital.",,
What Gets Measured Gets Improved,text,1,Block 7: Business Performance & KPIs Review System,"Most SMEs are busy but blind — working hard without knowing what's improving or declining. Measuring weekly, not just monthly, gives you an early warning before a problem becomes a crisis.",,
Keep KPIs Few and Visible,text,2,Block 7: Business Performance & KPIs Review System,"Too many KPIs means no KPIs get used. Track 1–2 sales KPIs (daily sales, customers served), 1–2 money KPIs (cash balance, cost leaks), and 1 customer KPI (repeat customers, complaints) — posted somewhere visible, not buried in a laptop file.",,
Reviews Must Lead to Action,text,3,Block 7: Business Performance & KPIs Review System,"Recording numbers and reviewing them without acting on them wastes the effort. Every review should answer three questions: what changed, why did it change, and what will we do next?",,
Task: Select Your 5 KPIs,text,4,Block 7: Business Performance & KPIs Review System,"Choose a maximum of 5 KPIs across sales, money, and customer categories — simple enough to track daily or weekly.",,
Task: Create a Weekly Review Template,text,5,Block 7: Business Performance & KPIs Review System,"Build a short weekly routine to record your KPIs and answer: what changed, why, and what you'll do about it.",,
Case Study: Njeri's Missed Warning Signs,text,6,Block 7: Business Performance & KPIs Review System,"Njeri believed her sales were growing, but the increase was coming from just one client while her overall customer count quietly declined. When that client relocated, her business was left exposed with no cash cushion — a weekly review would have caught the warning signs in time.",,
Your Business Can't Outgrow You,text,1,Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,"A business can only grow to the level of the owner's inner capacity. Most growth ceilings aren't market problems — they're human capacity problems: energy, beliefs, discipline, and emotional resilience.",,
Recognizing Burnout,text,2,Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,"Burnout looks like avoiding decisions, delaying follow-ups, reacting emotionally, constant firefighting, and losing interest in growth. A burnt-out owner can't think, plan, delegate, or review — the business stops improving and just survives.",,
Mental Health as a Business Asset,text,3,Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,"Mental health means decision clarity, emotional regulation, and recovery capacity — it directly affects pricing decisions, staff management, and risk-taking. Calm owners build calmer teams; this is performance infrastructure, not a soft topic.",,
Skill and Mindset Must Grow Together,text,4,Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,"Skill without mindset leads to frustration — like learning bookkeeping but avoiding the numbers. Mindset without skill leads to wishful thinking. Ask yourself: what skill do I already have that I'm not using, and what belief is blocking it?",,
Task: Reflect on Skill vs. Mindset Gaps,text,5,Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,"Identify one skill you already have but aren't fully using, and name the belief that's holding you back from applying it.",,
"Case Study: Two Owners, Two Delegation Outcomes",text,6,Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,"One owner learned delegation but held onto the belief that 'no one can do it like me' — the skill went unused and the owner stayed exhausted. Another owner built trust gradually through small delegations and learned from mistakes — growth followed.",,
Reflect on What Changed,text,1,Reflection & Action Planning,"Compare the assumptions you held about your business before this program against what you now know to be true, and analyze why they differ.",,
Document Your Learning Integration,text,2,Reflection & Action Planning,"Write down the concrete changes this program requires in your business model and financial management, based on what you've actually learned about your own operations.",,
Task: Build Your SMART 3-Month Action Plan,text,3,Reflection & Action Planning,"Identify 3–5 critical points to address in the next 90 days. Make each one Specific, Measurable, Achievable, Relevant, and Time-bound.",,
Task: Define Your Scaling Strategy,text,4,Reflection & Action Planning,"Outline your next steps to move from pilot to sustained growth: formalize operations and processes, identify sources of growth capital, and align your team around clear roles.",,
Course Evaluation,quiz,1,Certificate (Seed of Power),,,"{""questions"":[{""id"":""q1"",""type"":""rating-matrix"",""required"":true,""prompt"":""How useful were the following parts of the training? 1 = not useful, 5 = very useful."",""scaleHint"":""Rate each part 1-5"",""rows"":[{""id"":""r1"",""label"":""How useful were the training modules?""},{""id"":""r2"",""label"":""How useful was the support from your trainer?""},{""id"":""r3"",""label"":""How useful was the training and coaching overall?""}]},{""id"":""q2"",""type"":""single-scale"",""required"":true,""max"":5,""prompt"":""Will you use what you learned? 1 = very unlikely, 5 = very likely."",""rowLabel"":""How likely are you to use the knowledge and skills acquired?""},{""id"":""q3"",""type"":""free-text"",""required"":true,""prompt"":""What do you suggest we do to further improve the programme?""}]}"
